                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                0.64899,                 6.4054,                0.48121,                0.55578,                 1.1533,                0.95466,                0.93333,                0.97338,                 0.7355,                0.22881,                0.24667,                0.06714,                0.01742,                0.95156,                 5.8586,                0.22258,                0.52791,                  1.395,              0.0097921,              0.0097921,              0.0097921
                     23,                 0.6442,                 6.4055,                0.47474,                0.57107,                 1.1566,                0.92811,                0.97333,                0.97326,                 0.7325,                0.26791,                0.27333,                0.08857,                0.01789,                0.87769,                 5.9005,                 0.2301,                0.53837,                 1.3246,              0.0097822,              0.0097822,              0.0097822
                     24,                0.63258,                 6.2183,                0.47047,                0.54634,                 1.1382,                0.90028,                0.84265,                0.93172,                0.62335,                0.23346,                0.19333,                0.06232,                0.01333,                 1.2274,                 6.4376,                0.34113,                0.81486,                 1.6841,              0.0097723,              0.0097723,              0.0097723
                     25,                0.64233,                 6.1607,                0.46458,                0.56058,                 1.1527,                0.91647,                0.96667,                0.97951,                0.74285,                0.28992,                    0.3,                0.09959,                0.02026,                0.90417,                 5.5779,                0.24023,                0.55387,                 1.3375,              0.0097624,              0.0097624,              0.0097624
                     26,                0.63323,                   6.13,                0.45741,                0.57021,                 1.1514,                0.93959,                   0.96,                0.98347,                0.75451,                0.32638,                0.36178,                0.14328,                0.02857,                0.89037,                 5.4882,                 0.2382,                0.51779,                  1.319,              0.0097525,              0.0097525,              0.0097525
                     27,                0.63406,                 6.1561,                0.45955,                0.56776,                 1.1485,                 0.9554,                0.97333,                0.98093,                0.71963,                0.34708,                0.33333,                0.13352,                0.02472,                 0.9292,                 5.5827,                0.23678,                 0.5649,                 1.3744,              0.0097426,              0.0097426,              0.0097426
                     28,                0.62235,                 6.1312,                0.44872,                0.54649,                 1.1457,                0.95731,                0.96667,                0.97585,                0.76169,                0.30304,                0.31333,                0.11336,                0.02748,                0.87425,                 5.6093,                0.23611,                0.48764,                   1.34,              0.0097327,              0.0097327,              0.0097327
                     29,                0.61611,                 6.1015,                0.45012,                0.53495,                 1.1378,                0.99305,                0.95301,                0.97943,                0.74237,                0.37576,                   0.36,                0.16408,                0.03605,                0.90112,                 5.4897,                0.20326,                0.51661,                 1.3359,              0.0097228,              0.0097228,              0.0097228
                     30,                 0.6146,                 6.1628,                0.44437,                0.54076,                 1.1432,                0.94675,                0.94829,                0.97715,                0.71912,                0.36199,                0.33333,                 0.1436,                0.03009,                0.95421,                 5.4349,                0.20714,                0.55484,                  1.395,              0.0097129,              0.0097129,              0.0097129
                     31,                0.61186,                 6.0502,                0.44188,                0.54431,                 1.1312,                 0.9392,                0.92683,                0.97103,                0.73255,                0.29244,                   0.32,                 0.1079,                0.02577,                0.91872,                 5.4329,                  0.228,                0.55779,                 1.3811,               0.009703,               0.009703,               0.009703
                     32,                0.61729,                   5.95,                0.43714,                0.53566,                 1.1308,                0.94019,                0.97333,                0.97939,                0.74813,                 0.3478,                   0.36,                0.15108,                0.03364,                0.90307,                  5.508,                0.20291,                 0.5197,                 1.3371,              0.0096931,              0.0096931,              0.0096931
                     33,                0.60609,                 5.9638,                0.43524,                0.51832,                 1.1254,                0.95108,                0.95333,                0.98515,                0.77172,                0.37189,                0.34667,                0.16354,                0.03286,                0.82301,                  5.421,                0.19164,                0.50238,                 1.2887,              0.0096832,              0.0096832,              0.0096832
                     34,                0.60254,                 5.9191,                0.43179,                0.51826,                 1.1257,                0.96063,                0.98667,                0.98379,                0.75029,                0.40288,                   0.42,                0.18471,                0.04022,                0.90352,                 5.1411,                0.21547,                 0.5168,                 1.3482,              0.0096733,              0.0096733,              0.0096733
                     35,                0.59226,                 5.8316,                0.43069,                0.51612,                 1.1304,                 0.9511,                   0.98,                0.98231,                0.76987,                0.35892,                0.35333,                0.16876,                0.04143,                0.83744,                 5.2732,                0.19678,                0.46227,                 1.2902,              0.0096634,              0.0096634,              0.0096634
                     36,                0.59417,                 5.7586,                 0.4307,                0.51951,                 1.1101,                0.96739,                 0.9889,                0.99317,                0.76613,                0.39866,                0.40667,                0.18065,                0.03858,                0.85071,                 5.1851,                0.21178,                 0.4914,                 1.2797,              0.0096535,              0.0096535,              0.0096535
                     37,                0.58504,                 5.7857,                0.42465,                0.50839,                 1.1127,                0.95114,                0.96667,                0.97281,                0.74252,                0.37665,                0.38667,                0.18158,                0.03983,                0.87211,                 5.2953,                  0.198,                0.50107,                 1.3241,              0.0096436,              0.0096436,              0.0096436
